open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,symbol,index
21.05,21.4,19.1,19.3,18.4832,2576944.0,0.0,1.0,AAL,2005-09-27
19.3,20.53,19.2,20.5,19.6325,15409920.0,0.0,1.0,AAL,2005-09-28
20.4,20.58,20.1,20.21,19.3547,2890617.0,0.0,1.0,AAL,2005-09-29
20.26,21.05,20.18,21.01,20.1209,8373458.0,0.0,1.0,AAL,2005-09-30
20.9,21.75,20.9,21.5,20.5901,2836193.0,0.0,1.0,AAL,2005-10-03
21.44,22.5,21.44,22.16,21.2222,4742091.0,0.0,1.0,AAL,2005-10-04
22.1,22.31,21.75,22.2,21.2605,2424397.0,0.0,1.0,AAL,2005-10-05
22.6,23.0,22.4,22.58,21.6244,4327614.0,0.0,1.0,AAL,2005-10-06
22.25,22.6,21.8,22.15,21.2126,2019839.0,0.0,1.0,AAL,2005-10-07
22.28,22.29,22.1,22.21,21.2701,1444236.0,0.0,1.0,AAL,2005-10-10
22.26,22.3,21.8,21.98,21.0498,2049866.0,0.0,1.0,AAL,2005-10-11
21.9,22.05,21.64,21.76,20.8391,2447453.0,0.0,1.0,AAL,2005-10-12
21.7,21.8,21.4,21.71,20.7913,1424397.0,0.0,1.0,AAL,2005-10-13
21.85,22.4,21.85,22.27,21.3276,2380161.0,0.0,1.0,AAL,2005-10-14
22.15,22.22,21.85,22.08,21.1456,1243968.0,0.0,1.0,AAL,2005-10-17
22.06,22.3,21.35,21.49,20.5806,4867292.0,0.0,1.0,AAL,2005-10-18
21.37,21.6,20.85,21.38,20.4752,3930295.0,0.0,1.0,AAL,2005-10-19
21.35,21.48,20.85,21.02,20.1305,1718231.0,0.0,1.0,AAL,2005-10-20
21.02,22.42,21.01,21.96,21.0307,2458445.0,0.0,1.0,AAL,2005-10-21
22.01,22.36,21.95,22.31,21.3659,1364075.0,0.0,1.0,AAL,2005-10-24
22.25,22.54,21.7,22.0,21.069,1172386.0,0.0,1.0,AAL,2005-10-25
22.0,22.45,21.99,22.32,21.3754,1456300.0,0.0,1.0,AAL,2005-10-26
22.26,22.56,22.2,22.56,21.6053,941555.0,0.0,1.0,AAL,2005-10-27
22.55,23.9,22.37,23.9,22.8886,4329491.0,0.0,1.0,AAL,2005-10-28
24.0,25.35,24.0,24.68,23.6356,1893834.0,0.0,1.0,AAL,2005-10-31
24.7,25.08,24.69,25.02,23.9612,2323861.0,0.0,1.0,AAL,2005-11-01
25.23,28.1,25.2,27.55,26.3841,7694906.0,0.0,1.0,AAL,2005-11-02
27.6,28.1,27.6,27.87,26.6906,2429223.0,0.0,1.0,AAL,2005-11-03
27.8,29.0,27.77,28.8,27.5812,2446649.0,0.0,1.0,AAL,2005-11-04
29.0,29.43,28.38,28.93,27.7057,1305362.0,0.0,1.0,AAL,2005-11-07
29.1,29.7,29.0,29.43,28.1846,3739946.0,0.0,1.0,AAL,2005-11-08
29.43,31.3,29.43,31.3,29.9754,3518231.0,0.0,1.0,AAL,2005-11-09
31.15,33.96,31.15,32.8,31.4119,5224933.0,0.0,1.0,AAL,2005-11-10
33.05,33.95,33.0,33.35,31.9387,3173995.0,0.0,1.0,AAL,2005-11-11
33.5,34.5,33.45,33.75,32.3217,2839678.0,0.0,1.0,AAL,2005-11-14
33.75,33.88,32.84,33.88,32.4462,2035389.0,0.0,1.0,AAL,2005-11-15
33.51,33.85,33.4,33.6,32.1781,1454692.0,0.0,1.0,AAL,2005-11-16
33.4,34.55,33.23,34.32,32.8676,2712869.0,0.0,1.0,AAL,2005-11-17
34.35,34.35,32.86,33.05,31.6514,1420375.0,0.0,1.0,AAL,2005-11-18
32.75,32.75,31.26,31.99,30.6362,1705898.0,0.0,1.0,AAL,2005-11-21
31.99,32.74,31.6,32.5,31.1246,1131099.0,0.0,1.0,AAL,2005-11-22
32.2,33.68,32.16,33.04,31.6418,1799732.0,0.0,1.0,AAL,2005-11-23
33.01,33.2,32.72,32.85,31.4598,371314.0,0.0,1.0,AAL,2005-11-25
33.05,33.85,33.0,33.41,31.9961,1690080.0,0.0,1.0,AAL,2005-11-28
33.3,33.5,32.63,32.9,31.5077,1149062.0,0.0,1.0,AAL,2005-11-29
32.9,33.8,32.9,33.59,32.1685,1850134.0,0.0,1.0,AAL,2005-11-30
34.0,34.94,34.0,34.28,32.8293,996783.0,0.0,1.0,AAL,2005-12-01
34.4,34.65,34.25,34.28,32.8293,1149062.0,0.0,1.0,AAL,2005-12-02
32.08,32.64,31.38,32.35,30.981,3014477.0,0.0,1.0,AAL,2005-12-05
32.04,33.75,32.04,33.62,32.1972,2119571.0,0.0,1.0,AAL,2005-12-06
33.4,34.18,33.3,33.95,32.5133,2101609.0,0.0,1.0,AAL,2005-12-07
33.95,33.98,33.53,33.66,32.2356,1028686.0,0.0,1.0,AAL,2005-12-08
33.41,34.07,33.35,33.88,32.4462,1098391.0,0.0,1.0,AAL,2005-12-09
33.8,33.91,33.71,33.76,32.3313,1130027.0,0.0,1.0,AAL,2005-12-12
33.76,33.8,33.05,33.25,31.8429,607775.0,0.0,1.0,AAL,2005-12-13
33.4,33.69,33.25,33.54,32.1206,424665.0,0.0,1.0,AAL,2005-12-14
33.64,33.88,33.35,33.63,32.2068,841555.0,0.0,1.0,AAL,2005-12-15
33.68,35.5,33.68,35.15,33.6625,4415282.0,0.0,1.0,AAL,2005-12-16
35.18,35.45,34.89,35.25,33.7583,1011796.0,0.0,1.0,AAL,2005-12-19
35.25,35.46,34.02,35.32,33.8253,1513405.0,0.0,1.0,AAL,2005-12-20
35.38,37.0,35.33,36.51,34.9649,1879893.0,0.0,1.0,AAL,2005-12-21
36.6,37.05,36.35,36.83,35.2714,664343.0,0.0,1.0,AAL,2005-12-22
36.73,38.0,36.73,37.73,36.1333,1321716.0,0.0,1.0,AAL,2005-12-23
37.99,38.8,37.2,37.46,35.8747,1277212.0,0.0,1.0,AAL,2005-12-27
